PHE Centre,LA code,LA name,Count of outlets,"Rate per 100,000 population"
South East,E07000223,Adur,58,91.2
North West,E07000026,Allerdale,98,100.9
East Midlands,E07000032,Amber Valley,113,90.5
South East,E07000224,Arun,135,85.8
East Midlands,E07000170,Ashfield,124,99.6
South East,E07000105,Ashford,87,69.1
South East,E07000004,Aylesbury Vale,113,58.6
East of England,E07000200,Babergh,49,54.3
London,E09000002,Barking and Dagenham,182,87.4
London,E09000003,Barnet,262,68.1
Yorkshire and Humber,E08000016,Barnsley,289,119.5
North West,E07000027,Barrow-in-Furness,84,124.4
East of England,E07000066,Basildon,164,89.2
South East,E07000084,Basingstoke and Deane,99,56.5
East Midlands,E07000171,Bassetlaw,106,92
South West,E06000022,Bath and North East Somerset,146,78.1
East of England,E06000055,Bedford,159,94.2
London,E09000004,Bexley,206,84
West Midlands,E08000025,Birmingham,876,77.7
East Midlands,E07000129,Blaby,67,68.7
North West,E06000008,Blackburn with Darwen,219,147.5
North West,E06000009,Blackpool,325,232.2
East Midlands,E07000033,Bolsover,76,97.2
North West,E08000001,Bolton,374,131.9
East Midlands,E07000136,Boston,55,81.2
South West,E06000028,Bournemouth,225,116.2
South East,E06000036,Bracknell Forest,62,51.8
Yorkshire and Humber,E08000032,Bradford,757,142.1
East of England,E07000067,Braintree,110,72.7
East of England,E07000143,Breckland,87,63.4
London,E09000005,Brent,326,99.9
East of England,E07000068,Brentwood,68,88.6
South East,E06000043,Brighton and Hove,346,120.5
South West,E06000023,Bristol,513,112.5
East of England,E07000144,Broadland,61,47.9
London,E09000006,Bromley,261,79.7
West Midlands,E07000234,Bromsgrove,82,84.7
East of England,E07000095,Broxbourne,85,87.7
East Midlands,E07000172,Broxtowe,96,85.6
North West,E07000117,Burnley,147,168
North West,E08000002,Bury^,240,127.3
Yorkshire and Humber,E08000033,Calderdale,287,137.3
East of England,E07000008,Cambridge,131,105.1
London,E09000007,Camden,434,174.2
West Midlands,E07000192,Cannock Chase,119,120.8
South East,E07000106,Canterbury,137,84.3
North West,E07000028,Carlisle,105,96.9
East of England,E07000069,Castle Point,85,94.7
East of England,E06000056,Central Bedfordshire,185,66.9
East Midlands,E07000130,Charnwood,141,79.5
East of England,E07000070,Chelmsford,117,67.2
South West,E07000078,Cheltenham,105,89.6
South East,E07000177,Cherwell,107,73
North West,E06000049,Cheshire East,332,88
North West,E06000050,Cheshire West and Chester,291,86.7
East Midlands,E07000034,Chesterfield,158,151.2
South East,E07000225,Chichester,83,69.7
South East,E07000005,Chiltern,47,49.4
North West,E07000118,Chorley,121,105.9
South West,E07000048,Christchurch,39,78.6
London,E09000001,City of London*,419,131.5
East of England,E07000071,Colchester,134,71.4
North West,E07000029,Copeland,69,99.6
East Midlands,E07000150,Corby,28,41
South West,E06000052,Cornwall,473,85.2
South West,E07000079,Cotswold,53,61.5
North East,E06000047,County Durham,624,119.6
West Midlands,E08000026,Coventry,364,103.1
Yorkshire and Humber,E07000163,Craven,53,94.1
South East,E07000226,Crawley,80,71.7
London,E09000008,Croydon,394,102.8
East of England,E07000096,Dacorum,111,72.8
North East,E06000005,Darlington,158,148.6
South East,E07000107,Dartford,100,95.1
East Midlands,E07000151,Daventry,45,55.5
East Midlands,E06000015,Derby,299,116.7
East Midlands,E07000035,Derbyshire Dales,50,70
Yorkshire and Humber,E08000017,Doncaster,377,122.7
South East,E07000108,Dover,104,90.8
West Midlands,E08000027,Dudley,309,97.3
London,E09000009,Ealing,269,78
East of England,E07000009,East Cambridgeshire,62,70.3
South West,E07000040,East Devon,91,64.9
South West,E07000049,East Dorset,43,48.3
South East,E07000085,East Hampshire,70,59
East of England,E07000242,East Hertfordshire,100,68.4
East Midlands,E07000137,East Lindsey,230,165.8
East Midlands,E07000152,East Northamptonshire,68,74.4
Yorkshire and Humber,E06000011,East Riding of Yorkshire,314,93
West Midlands,E07000193,East Staffordshire,140,119.7
South East,E07000061,Eastbourne,99,96.1
South East,E07000086,Eastleigh,90,69.5
North West,E07000030,Eden,51,96.9
South East,E07000207,Elmbridge,87,63.9
London,E09000010,Enfield,266,80.1
East of England,E07000072,Epping Forest,68,52.3
South East,E07000208,Epsom and Ewell,58,73.4
East Midlands,E07000036,Erewash,121,105.1
South West,E07000041,Exeter,103,80.8
South East,E07000087,Fareham,55,47.5
East of England,E07000010,Fenland,92,92.3
East of England,E07000201,Forest Heath,69,109
South West,E07000080,Forest of Dean,56,65.6
North West,E07000119,Fylde,100,128
North East,E08000037,Gateshead,272,134.2
East Midlands,E07000173,Gedling,87,74.5
South West,E07000081,Gloucester,110,85.7
South East,E07000088,Gosport,76,88.9
South East,E07000109,Gravesham,92,86.6
East of England,E07000145,Great Yarmouth,164,165.7
London,E09000011,Greenwich,249,89.2
South East,E07000209,Guildford,78,53.1
London,E09000012,Hackney,278,101.7
North West,E06000006,Halton,117,91.9
Yorkshire and Humber,E07000164,Hambleton,61,67.3
London,E09000013,Hammersmith and Fulham,163,89.7
East Midlands,E07000131,Harborough,59,65.4
London,E09000014,Haringey,210,77.2
East of England,E07000073,Harlow,75,87.3
Yorkshire and Humber,E07000165,Harrogate,133,83.2
London,E09000015,Harrow,174,70
South East,E07000089,Hart,63,66.4
North East,E06000001,Hartlepool,149,160.5
South East,E07000062,Hastings,108,116.3
South East,E07000090,Havant,111,89.6
London,E09000016,Havering,246,97.1
West Midlands,E06000019,Herefordshire,109,57.5
East of England,E07000098,Hertsmere,86,82.9
East Midlands,E07000037,High Peak,120,130.8
London,E09000017,Hillingdon,261,87
East Midlands,E07000132,Hinckley and Bosworth,106,96.5
South East,E07000227,Horsham,70,50.5
London,E09000018,Hounslow,201,74.9
East of England,E07000011,Huntingdonshire,129,73.3
North West,E07000120,Hyndburn,121,150.5
East of England,E07000202,Ipswich,178,128.5
South East,E06000046,Isle of Wight,134,95.5
South West,E06000053,Isles of Scilly,2,85.8
London,E09000019,Islington,248,106.9
London,E09000020,Kensington and Chelsea,110,70.2
East Midlands,E07000153,Kettering,89,89.9
East of England,E07000146,King's Lynn and West Norfolk,133,87.6
Yorkshire and Humber,E06000010,Kingston upon Hull,392,150.7
London,E09000021,Kingston upon Thames,140,80.6
Yorkshire and Humber,E08000034,Kirklees,624,143.4
North West,E08000011,Knowsley,91,61.5
London,E09000022,Lambeth,364,112.7
North West,E07000121,Lancaster,152,107.3
Yorkshire and Humber,E08000035,Leeds,957,122.5
East Midlands,E06000016,Leicester,481,137.6
South East,E07000063,Lewes,61,60
London,E09000023,Lewisham,318,106.4
West Midlands,E07000194,Lichfield,66,64.2
East Midlands,E07000138,Lincoln,130,133.5
North West,E08000012,Liverpool,630,129.2
East of England,E06000032,Luton,200,92.6
South East,E07000110,Maidstone,120,72.4
East of England,E07000074,Maldon,57,89.9
West Midlands,E07000235,Malvern Hills,47,61.4
North West,E08000003,Manchester,749,138.4
East Midlands,E07000174,Mansfield,115,106.6
South East,E06000035,Medway,234,84.5
East Midlands,E07000133,Melton,40,78.5
South West,E07000187,Mendip,66,58.3
London,E09000024,Merton,193,93.4
South West,E07000042,Mid Devon,34,42.6
East of England,E07000203,Mid Suffolk,56,55.6
South East,E07000228,Mid Sussex,97,65.7
North East,E06000002,Middlesbrough,184,131.1
East of England,E06000042,Milton Keynes,254,95.4
South East,E07000210,Mole Valley,48,55
South East,E07000091,New Forest,138,76.9
East Midlands,E07000175,Newark and Sherwood,105,87.6
North East,E08000021,Newcastle upon Tyne,408,138.9
West Midlands,E07000195,Newcastle-under-Lyme,133,103.8
London,E09000025,Newham,310,90
South West,E07000043,North Devon,82,86.6
South West,E07000050,North Dorset,43,60.6
East Midlands,E07000038,North East Derbyshire,69,68.7
Yorkshire and Humber,E06000012,North East Lincolnshire,206,128.9
East of England,E07000099,North Hertfordshire,102,76.9
East Midlands,E07000139,North Kesteven,78,68.6
Yorkshire and Humber,E06000013,North Lincolnshire,170,99.5
East of England,E07000147,North Norfolk,109,105.2
South West,E06000024,North Somerset,142,67.1
North East,E08000022,North Tyneside,204,100.2
West Midlands,E07000218,North Warwickshire,66,104.4
East Midlands,E07000134,North West Leicestershire,80,81.3
East Midlands,E07000154,Northampton,195,86.9
North East,E06000057,Northumberland,323,101.8
East of England,E07000148,Norwich,214,153
East Midlands,E06000018,Nottingham,427,131.5
West Midlands,E07000219,Nuneaton and Bedworth,108,84.6
East Midlands,E07000135,Oadby and Wigston,47,83.9
North West,E08000004,Oldham,289,124.4
South East,E07000178,Oxford,127,81.8
North West,E07000122,Pendle,108,119.3
East of England,E06000031,Peterborough,183,93
South West,E06000026,Plymouth,215,82
South West,E06000029,Poole,154,102.2
South East,E06000044,Portsmouth,269,126.1
North West,E07000123,Preston,202,143.2
South West,E07000051,Purbeck,36,77.7
South East,E06000038,Reading,197,121.1
London,E09000026,Redbridge,201,66.7
North East,E06000003,Redcar and Cleveland,160,118.1
West Midlands,E07000236,Redditch,71,83.4
South East,E07000211,Reigate and Banstead,80,55.1
North West,E07000124,Ribble Valley,60,101.9
London,E09000027,Richmond upon Thames,125,64
Yorkshire and Humber,E07000166,Richmondshire,46,85.4
North West,E08000005,Rochdale,285,131.7
East of England,E07000075,Rochford,22,25.7
North West,E07000125,Rossendale,85,121.8
South East,E07000064,Rother,54,57.5
Yorkshire and Humber,E08000018,Rotherham,290,110.6
West Midlands,E07000220,Rugby,89,84.5
South East,E07000212,Runnymede,61,70.6
East Midlands,E07000176,Rushcliffe,73,63.4
South East,E07000092,Rushmoor,91,94.7
East Midlands,E06000017,Rutland,27,69.3
Yorkshire and Humber,E07000167,Ryedale,52,96.5
North West,E08000006,Salford,324,130.6
West Midlands,E08000028,Sandwell,382,118.4
Yorkshire and Humber,E07000168,Scarborough,164,151.6
South West,E07000188,Sedgemoor,107,88.2
North West,E08000014,Sefton,285,103.7
Yorkshire and Humber,E07000169,Selby,76,87.4
South East,E07000111,Sevenoaks,50,42
Yorkshire and Humber,E08000019,Sheffield,685,119.3
South East,E07000112,Shepway,119,107.2
West Midlands,E06000051,Shropshire,200,63.6
South East,E06000039,Slough,121,81.9
West Midlands,E08000029,Solihull,149,70.2
South East,E07000006,South Bucks,53,75.9
East of England,E07000012,South Cambridgeshire,69,44.2
East Midlands,E07000039,South Derbyshire,74,73.7
South West,E06000025,South Gloucestershire,171,61.8
South West,E07000044,South Hams,43,50.7
East Midlands,E07000140,South Holland,71,76.7
East Midlands,E07000141,South Kesteven,118,83.7
North West,E07000031,South Lakeland,111,106.9
East of England,E07000149,South Norfolk,83,62.4
East Midlands,E07000155,South Northamptonshire,51,56.8
South East,E07000179,South Oxfordshire,92,66.1
North West,E07000126,South Ribble,116,105.3
South West,E07000189,South Somerset,118,70.9
West Midlands,E07000196,South Staffordshire,57,51.3
North East,E08000023,South Tyneside,167,111.9
South East,E06000045,Southampton,235,93.9
East of England,E06000033,Southend-on-Sea,198,109.6
London,E09000028,Southwark,327,104.9
South East,E07000213,Spelthorne,60,60.7
East of England,E07000240,St Albans,93,63.3
East of England,E07000204,St Edmundsbury,83,73.2
North West,E08000013,St. Helens,189,105.9
West Midlands,E07000197,Stafford,103,77.1
