"la_code","rate_per_100_000_population","mean_quantiles","rate_per_100_000_population.1","index_of_multiple_deprivation_imd_decile","verse","fast_quantiles","imd_quantiles","group","fill"
"E07000223",91.2,"87 – 100",91.2,5.90476190476191,4.09523809523809,"(76.2,99.6]","(3.25,4.98]","2 - 2","#806A8A"
"E07000026",100.9,"100 – 120",100.9,5.08333333333333,4.91666666666667,"(99.6,232]","(3.25,4.98]","3 - 2","#77324C"
"E07000032",90.5,"87 – 100",90.5,6.01282051282051,3.98717948717949,"(76.2,99.6]","(3.25,4.98]","2 - 2","#806A8A"
"E07000224",85.8,"76 – 87",85.8,5.75531914893617,4.24468085106383,"(76.2,99.6]","(3.25,4.98]","2 - 2","#806A8A"
"E07000170",99.6,"87 – 100",99.6,4.28378378378378,5.71621621621622,"(76.2,99.6]","(4.98,7.59]","2 - 3","#435786"
"E07000105",69.1,"65 – 76",69.1,5.73076923076923,4.26923076923077,"[25.7,76.2]","(3.25,4.98]","1 - 2","#89A1C8"
"E07000004",58.6,"26 – 65",58.6,7.75652173913043,2.24347826086957,"[25.7,76.2]","[0.614,3.25]","1 - 1","#CABED0"
"E07000200",54.3,"26 – 65",54.3,6.68518518518519,3.31481481481481,"[25.7,76.2]","(3.25,4.98]","1 - 2","#89A1C8"
"E09000002",87.4,"87 – 100",87.4,2.68181818181818,7.31818181818182,"(76.2,99.6]","(4.98,7.59]","2 - 3","#435786"
"E09000003",68.1,"65 – 76",68.1,6.38388625592417,3.61611374407583,"[25.7,76.2]","(3.25,4.98]","1 - 2","#89A1C8"
"E08000016",119.5,"100 – 120",119.5,3.82312925170068,6.17687074829932,"(99.6,232]","(4.98,7.59]","3 - 3","#3F2949"
"E07000027",124.4,"120 – 232",124.4,4.06122448979592,5.93877551020408,"(99.6,232]","(4.98,7.59]","3 - 3","#3F2949"
"E07000066",89.2,"87 – 100",89.2,5.2,4.8,"(76.2,99.6]","(3.25,4.98]","2 - 2","#806A8A"
"E07000084",56.5,"26 – 65",56.5,7.35779816513761,2.64220183486239,"[25.7,76.2]","[0.614,3.25]","1 - 1","#CABED0"
"E07000171",92,"87 – 100",92,4.92857142857143,5.07142857142857,"(76.2,99.6]","(4.98,7.59]","2 - 3","#435786"
"E06000022",78.1,"76 – 87",78.1,7.49565217391304,2.50434782608696,"(76.2,99.6]","[0.614,3.25]","2 - 1","#BC7C8F"
"E06000055",94.2,"87 – 100",94.2,5.79611650485437,4.20388349514563,"(76.2,99.6]","(3.25,4.98]","2 - 2","#806A8A"
"E09000004",84,"76 – 87",84,6.50684931506849,3.49315068493151,"(76.2,99.6]","(3.25,4.98]","2 - 2","#806A8A"
"E08000025",77.7,"76 – 87",77.7,2.89045383411581,7.10954616588419,"(76.2,99.6]","(4.98,7.59]","2 - 3","#435786"
"E07000129",68.7,"65 – 76",68.7,7.71666666666667,2.28333333333333,"[25.7,76.2]","[0.614,3.25]","1 - 1","#CABED0"
"E06000008",147.5,"120 – 232",147.5,3.31868131868132,6.68131868131868,"(99.6,232]","(4.98,7.59]","3 - 3","#3F2949"
"E06000009",232.2,"120 – 232",232.2,2.41489361702128,7.58510638297872,"(99.6,232]","(4.98,7.59]","3 - 3","#3F2949"
"E07000033",97.2,"87 – 100",97.2,4.33333333333333,5.66666666666667,"(76.2,99.6]","(4.98,7.59]","2 - 3","#435786"
"E08000001",131.9,"120 – 232",131.9,4.2090395480226,5.7909604519774,"(99.6,232]","(4.98,7.59]","3 - 3","#3F2949"
"E07000136",81.2,"76 – 87",81.2,4.63888888888889,5.36111111111111,"(76.2,99.6]","(4.98,7.59]","2 - 3","#435786"
"E06000028",116.2,"100 – 120",116.2,4.93120440575474,5.06879559424526,"(99.6,232]","(4.98,7.59]","3 - 3","#3F2949"
"E06000036",51.8,"26 – 65",51.8,7.96,2.04,"[25.7,76.2]","[0.614,3.25]","1 - 1","#CABED0"
"E08000032",142.1,"120 – 232",142.1,3.62903225806452,6.37096774193548,"(99.6,232]","(4.98,7.59]","3 - 3","#3F2949"
"E07000067",72.7,"65 – 76",72.7,6.60919540229885,3.39080459770115,"[25.7,76.2]","(3.25,4.98]","1 - 2","#89A1C8"
"E07000143",63.4,"26 – 65",63.4,5.34615384615385,4.65384615384615,"[25.7,76.2]","(3.25,4.98]","1 - 2","#89A1C8"
"E09000005",99.9,"100 – 120",99.9,4.16184971098266,5.83815028901734,"(99.6,232]","(4.98,7.59]","3 - 3","#3F2949"
"E07000068",88.6,"87 – 100",88.6,8.02173913043478,1.97826086956522,"(76.2,99.6]","[0.614,3.25]","2 - 1","#BC7C8F"
"E06000043",120.5,"120 – 232",120.5,5.55151515151515,4.44848484848485,"(99.6,232]","(3.25,4.98]","3 - 2","#77324C"
