Region and LA of residence,,,All persons,Male,Female,,"All persons per 100,000 of population","Male per 100,000 of population	","Female per 100,000 of population	"
,,,,,,,,,
E92000001,,ENGLAND6,"875,663","305,073","570,568",,"1,615","1,193","2,042"
,,,,,,,,,
E12000001,,North East,"31,855","11,540","20,315",,"1,206",906,"1,503"
E06000005,,Darlington,940,340,600,,892,662,"1,113"
E06000047,,Durham,"6,535","2,510","4,025",,"1,230",963,"1,493"
E08000037,,Gateshead,"1,990",525,"1,465",,979,544,"1,415"
E06000001,,Hartlepool,"1,660",545,"1,115",,"1,832","1,251","2,399"
E06000002,,Middlesbrough,940,350,590,,731,571,886
E08000021,,Newcastle upon Tyne,"2,150",620,"1,530",,780,533,"1,048"
E08000022,,North Tyneside,"2,815",995,"1,815",,"1,343",983,"1,678"
E06000057,,Northumberland,"4,580","1,670","2,910",,"1,381",977,"1,776"
E06000003,,Redcar and Cleveland,895,320,575,,661,479,830
E08000023,,South Tyneside,"1,550",635,915,,"1,023",877,"1,173"
E06000004,,Stockton-on-Tees,"3,035","1,130","1,900",,"1,586","1,238","1,932"
E08000024,,Sunderland,"4,770","1,895","2,875",,"1,709","1,426","1,994"
,,,,,,,,,
E12000002,,North West,"130,705","48,565","82,135",,"1,842","1,434","2,253"
E06000008,,Blackburn with Darwen,"3,710","1,190","2,515",,"2,782","1,892","3,680"
E06000009,,Blackpool,"3,300","1,250","2,050",,"2,387","1,797","2,985"
E08000001,,Bolton,"2,425","1,105","1,320",,907,851,963
E08000002,,Bury,"2,350",845,"1,505",,"1,278",963,"1,589"
E06000049,,Cheshire East,"6,800","2,305","4,490",,"1,823","1,176","2,464"
E06000050,,Cheshire West and Chester,"5,600","1,775","3,825",,"1,669","1,044","2,275"
E10000006,,Cumbria,"6,710","2,625","4,080",,"1,299",972,"1,637"
E06000006,,Halton,"2,215",875,"1,340",,"1,764","1,442","2,075"
E08000011,,Knowsley,"2,205",745,"1,460",,"1,510","1,102","1,866"
E10000017,,Lancashire,"22,045","8,470","13,570",,"1,831","1,432","2,229"
E08000012,,Liverpool,"6,350","2,130","4,220",,"1,389","1,066","1,744"
E08000003,,Manchester,"8,815","2,745","6,065",,"2,094","1,600","2,623"
E08000004,,Oldham,"2,865",995,"1,870",,"1,327",991,"1,661"
E08000005,,Rochdale,"2,955","1,035","1,920",,"1,429","1,079","1,781"
E08000006,,Salford,"6,420","2,345","4,075",,"2,853","2,247","3,476"
E08000014,,Sefton,"3,685","1,395","2,290",,"1,316","1,004","1,635"
E08000013,,Saint Helens,"2,595","1,070","1,530",,"1,443","1,209","1,683"
E08000007,,Stockport,"7,385","2,935","4,450",,"2,560","2,097","2,995"
E08000008,,Tameside,"2,475","1,080","1,395",,"1,135","1,014","1,249"
E08000009,,Trafford,"4,220","1,620","2,600",,"1,905","1,560","2,250"
E06000007,,Warrington,"2,655",980,"1,675",,"1,288",979,"1,606"
E08000010,,Wigan,"10,665","4,495","6,170",,"3,318","2,863","3,781"
E08000015,,Wirral,"12,270","4,545","7,725",,"3,804","2,884","4,706"
,,,,,,,,,
E12000003,,Yorkshire and the Humber,"91,745","31,625","60,120",,"1,719","1,250","2,192"
E08000016,,Barnsley,"2,760","1,030","1,730",,"1,126",848,"1,397"
E08000033,,Calderdale,"3,310","1,060","2,245",,"1,625","1,062","2,180"
E08000032,,Bradford,"13,940","4,905","9,040",,"2,936","2,228","3,640"
E08000017,,Doncaster,"5,310","1,715","3,595",,"1,731","1,147","2,339"
E06000011,,East Riding of Yorkshire,"6,075","2,415","3,660",,"1,683","1,274","2,105"
E06000010,,Kingston upon Hull,"3,220",905,"2,315",,"1,272",814,"1,752"
E08000034,,Kirklees,"7,030","1,960","5,070",,"1,663",977,"2,356"
E08000035,,Leeds,"6,205","2,025","4,180",,859,629,"1,085"
E06000012,,North East Lincolnshire,"2,220",780,"1,440",,"1,401","1,009","1,801"
E06000013,,North Lincolnshire,"1,695",565,"1,125",,972,642,"1,304"
E10000023,,North Yorkshire,"13,085","5,205","7,885",,"2,034","1,582","2,522"
E08000018,,Rotherham,"6,330","2,090","4,240",,"2,430","1,636","3,202"
E08000019,,Sheffield,"5,890","2,140","3,750",,"1,099",852,"1,344"
E08000036,,Wakefield,"8,035","2,350","5,685",,"2,356","1,410","3,265"
E06000014,,York,"6,640","2,475","4,160",,"3,321","2,743","3,946"
,,,,,,,,,
E12000004,,East Midlands,"110,605","37,815","72,785",,"2,343","1,661","3,030"
E06000015,,Derby,"6,495","1,715","4,780",,"2,679","1,605","3,768"
E10000007,,Derbyshire,"19,025","6,395","12,630",,"2,375","1,564","3,171"
E06000016,,Leicester,"5,230","1,445","3,785",,"1,756","1,116","2,396"
E10000018,,Leicestershire,"12,915","4,530","8,380",,"1,861","1,320","2,394"
E10000019,,Lincolnshire,"12,035","4,195","7,840",,"1,567","1,073","2,061"
E10000021,,Northamptonshire,"21,080","7,640","13,440",,"2,959","2,231","3,702"
E06000018,,Nottingham,"8,805","2,570","6,235",,"3,205","2,274","4,216"
E10000024,,Nottinghamshire,"24,545","9,150","15,390",,"2,971","2,244","3,699"
E06000017,,Rutland                                                                         ,480,175,300,,"1,167",817,"1,591"
,,,,,,,,,
E12000005,,West Midlands,"120,970","38,155","82,815",,"2,121","1,416","2,835"
E08000025,,Birmingham,"15,390","3,615","11,775",,"1,514",868,"2,148"
